AccidentID,Collision_Date,Year,Month,Weekday,Hour,Collision Type,How Collision Occurred,Injury Severity,Division,Ward,Intersection,OperatorDistracted,OperatorImpaired
1801010214,2018-01-01,2018,Jan,Monday,0300,Vehicle / Vehicle,Angle (Front To Side),Unknown Injury,West,1,Anklam Rd / Shannon Rd,1,0
1801010535,2018-01-01,2018,Jan,Monday,2100,Vehicle / Vehicle,Rear-End (Front To Back),Non-Incapacitating Injury,West,3,1st Av / Prince Rd,1,1
1801010486,2018-01-01,2018,Jan,Monday,1800,Vehicle / Vehicle,Head-On (Front To Front),No Injury,Midtown,6,Grant Rd / Columbus Bl,0,0
1801010494,2018-01-01,2018,Jan,Monday,1600,Vehicle / Vehicle,Head-On (Front To Front),No Injury,East,6,Lee St,1,0
1801010223,2018-01-01,2018,Jan,Monday,0800,Single Vehicle,Single Vehicle,No Injury,South,5,Campbell Av / Benson Hy,0,0
1801010252,2018-01-01,2018,Jan,Monday,0800,Single Vehicle,Single Vehicle,No Injury,East,2,Houghton Rd,1,0
1801010354,2018-01-01,2018,Jan,Monday,1400,Vehicle / Vehicle,Left Turn,Possible Injury,Midtown,6,26th St / Craycroft Rd,0,0
1801010119,2018-01-01,2018,Jan,Monday,0200,Vehicle / Vehicle,Left Turn,Possible Injury,West,3,Mountain Av / Grant Rd,1,0
1801010045,2018-01-01,2018,Jan,Monday,0000,Single Vehicle,Single Vehicle,No Injury,South,5,Nebraska St E,1,1
1801010238,2018-01-01,2018,Jan,Monday,0900,Vehicle / Vehicle,Angle (Front To Side),No Injury,West,3,Grant Rd / Oracle Rd,0,0
1801010395,2018-01-01,2018,Jan,Monday,1500,Vehicle / Motorcycle,Rear-End (Front To Back),Non-Incapacitating Injury,Midtown,6,Alvernon Wy / Edison Pl,1,0
1801010478,2018-01-01,2018,Jan,Monday,1800,Vehicle / Vehicle,Rear-End (Front To Back),No Injury,Midtown,6,22nd St / Bryant Av,1,0
1801020068,2018-01-02,2018,Jan,Tuesday,0200,Single Vehicle,Single Vehicle,No Injury,Midtown,6,Country Club Rd / Broadway Bl,0,0
1801020502,2018-01-02,2018,Jan,Tuesday,2000,Single Vehicle,Single Vehicle,No Injury,South,5,Benson Hy / Tucson Bl / Irvington Rd,0,0
1801020195,2018-01-02,2018,Jan,Tuesday,0900,Vehicle / Motorcycle,Left Turn,Non-Incapacitating Injury,West,5,Broadway Bl / Fremont Av,1,0
1801020352,2018-01-02,2018,Jan,Tuesday,1500,Vehicle / Bicycle,Other,Possible Injury,Midtown,6,Williams Bl / Broadway Bl / Beverly Av,1,0
1801020151,2018-01-02,2018,Jan,Tuesday,0800,Vehicle / Vehicle,Left Turn,No Injury,East,2,Catalina Hy / Tanque Verde Rd,1,0
1801020315,2018-01-02,2018,Jan,Tuesday,1400,Vehicle / Vehicle,Left Turn,No Injury,South,5,7th Av / Ajo Wy,0,0
1801020324,2018-01-02,2018,Jan,Tuesday,1300,Vehicle / Vehicle,Rear-End (Front To Back),No Injury,South,1,Nogales Hy / Valencia Rd,1,0
1801020406,2018-01-02,2018,Jan,Tuesday,1600,Vehicle / Vehicle,Left Turn,No Injury,Midtown,3,Tucson Bl / Prince Rd,0,0
1801020446,2018-01-02,2018,Jan,Tuesday,1800,Single Vehicle,Single Vehicle,Non-Incapacitating Injury,South,5,Ajo Wy / Park Av,0,0
1801020080,2018-01-02,2018,Jan,Tuesday,0500,Vehicle / Vehicle,Angle (Front To Side),Possible Injury,West,3,Prince Rd / Flowing Wells Rd,1,0
1801020450,2018-01-02,2018,Jan,Tuesday,1700,Vehicle / Vehicle,Rear-End (Front To Back),No Injury,West,3,Kelso St,1,0
1801020504,2018-01-02,2018,Jan,Tuesday,2000,Vehicle / Vehicle,Left Turn,Non-Incapacitating Injury,East,2,Pantano Rd / 22nd St,1,0
1801020187,2018-01-02,2018,Jan,Tuesday,0900,Vehicle / Vehicle,Angle (Front To Side),No Injury,Midtown,3,Wilson Av / Fort Lowell Rd,0,0
1801020462,2018-01-02,2018,Jan,Tuesday,1800,Vehicle / Vehicle,Rear-End (Front To Back),No Injury,Midtown,6,Speedway Bl / Bryant Av,0,0
1801020391,2018-01-02,2018,Jan,Tuesday,1500,Vehicle / Vehicle,Rear-End (Front To Back),Non-Incapacitating Injury,South,1,Oak Tree Dr / Valencia Rd / Valley Indian Agency Connect Rd,1,0
1801020130,2018-01-02,2018,Jan,Tuesday,0800,Vehicle / Vehicle,Rear-End (Front To Back),No Injury,South,5,22nd St / Osborne Av,1,0
1801030378,2018-01-03,2018,Jan,Wednesday,1500,Single Vehicle,Single Vehicle,No Injury,South,5,6th Av / 25th St,0,0
1801030292,2018-01-03,2018,Jan,Wednesday,1400,Vehicle / Vehicle,Rear-End (Front To Back),No Injury,West,3,Stone Av / Roger Rd,0,0
1801030314,2018-01-03,2018,Jan,Wednesday,1400,Vehicle / Bicycle,Other,No Injury,West,3,Wetmore Rd / 1st Av,0,0
1801030293,2018-01-03,2018,Jan,Wednesday,1200,Vehicle / Motorcycle,Angle (Front To Side),Possible Injury,Midtown,2,Camp Lowell Dr / Swan Rd,0,0
1801030319,2018-01-03,2018,Jan,Wednesday,1400,Single Vehicle,Single Vehicle,No Injury,South,5,Ajo Wy / Benson Hy,1,0
1801030359,2018-01-03,2018,Jan,Wednesday,1500,Vehicle / Vehicle,Angle (Front To Side),No Injury,East,2,Sarnoff Dr,1,1
1801030490,2018-01-03,2018,Jan,Wednesday,2000,Vehicle / Vehicle,Left Turn,No Injury,South,5,Park Av / 24th St,0,0
1801030512,2018-01-03,2018,Jan,Wednesday,2000,Vehicle / Bicycle,Other,Possible Injury,West,3,1st Av,1,0
1801030130,2018-01-03,2018,Jan,Wednesday,0900,Vehicle / Vehicle,Angle (Front To Side),No Injury,South,1,Calle Santa Cruz / Irvington Rd,1,0
1801030179,2018-01-03,2018,Jan,Wednesday,1000,Single Vehicle,Single Vehicle,No Injury,South,5,Forgeus Av / Ajo Wy,0,0
1801030230,2018-01-03,2018,Jan,Wednesday,1100,Vehicle / Vehicle,Rear-End (Front To Back),No Injury,South,1,Oak Tree Dr / Valencia Rd / Valley Indian Agency Connect Rd,1,0
1801030316,2018-01-03,2018,Jan,Wednesday,1400,Vehicle / Vehicle,Rear-End (Front To Back),No Injury,East,2,Jessica Av / Broadway Bl,1,0
1801030424,2018-01-03,2018,Jan,Wednesday,1600,Vehicle / Vehicle,Left Turn,No Injury,East,2,Pantano Rd / Kenyon Dr,1,0
1801040365,2018-01-04,2018,Jan,Thursday,1200,Single Vehicle,Single Vehicle,No Injury,East,6,Van Buren Av / 29th St,0,0
1801040408,2018-01-04,2018,Jan,Thursday,1200,Vehicle / Vehicle,Angle (Front To Side),No Injury,West,3,Prince Rd / Flowing Wells Rd,1,0
1801040466,2018-01-04,2018,Jan,Thursday,1300,Vehicle / Vehicle,Left Turn,No Injury,Midtown,6,6th St / 5th St / Country Club Rd,0,0
1801040545,2018-01-04,2018,Jan,Thursday,1600,Vehicle / Vehicle,Left Turn,Incapacitating Injury,East,2,Broadway Bl / Camino Seco,0,0
1801040580,2018-01-04,2018,Jan,Thursday,1600,Vehicle / Vehicle,Left Turn,Incapacitating Injury,East,4,Kolb Rd / I10 Wb Exit 270 Off Ramp / Benson Hy,1,0
1801040599,2018-01-04,2018,Jan,Thursday,1800,Vehicle / Vehicle,"Sideswipe, Opposite Direction",Non-Incapacitating Injury,West,3,Oracle Rd / River Rd,0,0
1801040608,2018-01-04,2018,Jan,Thursday,1800,Vehicle / Vehicle,Rear-End (Front To Back),No Injury,South,1,Oak Tree Dr / Valencia Rd / Valley Indian Agency Connect Rd,0,0
1801040208,2018-01-04,2018,Jan,Thursday,0800,Vehicle / Bicycle,Other,Possible Injury,South,5,Ajo Wy / 12th Av,0,0
1801040586,2018-01-04,2018,Jan,Thursday,1700,Vehicle / Vehicle,Left Turn,No Injury,East,2,Wilmot Rd / Carondelet Dr,1,0
1801040500,2018-01-04,2018,Jan,Thursday,1500,Vehicle / Vehicle,Angle (Front To Side),No Injury,West,3,Fremont Av,0,0
1801040598,2018-01-04,2018,Jan,Thursday,1800,Vehicle / Vehicle,Rear-End (Front To Back),Non-Incapacitating Injury,West,3,Wetmore Rd / Stone Av,0,0
1801040610,2018-01-04,2018,Jan,Thursday,1700,Vehicle / Vehicle,"Sideswipe, Same Direction",No Injury,East,6,Wilmot Rd / Speedway Bl,1,0
1801040296,2018-01-04,2018,Jan,Thursday,1000,Vehicle / Vehicle,Left Turn,Non-Incapacitating Injury,Midtown,4,Golf Links Rd / Swan Rd,0,0
1801040368,2018-01-04,2018,Jan,Thursday,1200,Vehicle / Vehicle,Left Turn,No Injury,West,3,Forbes Bl / Grant Rd,0,0
1801040094,2018-01-04,2018,Jan,Thursday,0400,Single Vehicle,Single Vehicle,No Injury,East,2,22nd St / Wilmot Rd,0,0
1801040225,2018-01-04,2018,Jan,Thursday,0900,Vehicle / Vehicle,Left Turn,No Injury,South,5,Ajo Wy / Park Av,0,0
1801040620,2018-01-04,2018,Jan,Thursday,1800,Vehicle / Vehicle,Rear-End (Front To Back),Possible Injury,West,6,Freeway / Congress St,0,0
1801040735,2018-01-04,2018,Jan,Thursday,2300,Vehicle / Vehicle,Angle (Front To Side),No Injury,West,1,Freeway / Congress St,1,0
1801040621,2018-01-04,2018,Jan,Thursday,1800,Vehicle / Vehicle,Rear-End (Front To Back),No Injury,West,6,Campbell Av / Speedway Bl,1,0
1801040274,2018-01-04,2018,Jan,Thursday,1000,Vehicle / Vehicle,Angle (Front To Side),Non-Incapacitating Injury,Midtown,3,Prince Rd / Campbell Av,1,0
1801040561,2018-01-04,2018,Jan,Thursday,1700,Vehicle / Vehicle,Rear-End (Front To Back),Possible Injury,South,1,Headley Rd / Valencia Rd,1,0
1801040602,2018-01-04,2018,Jan,Thursday,1800,Vehicle / Pedestrian,Other,Fatal Injury,South,1,12th Av / Drexel Rd,1,0
1801040609,2018-01-04,2018,Jan,Thursday,1800,Vehicle / Vehicle,Left Turn,No Injury,West,3,1st Av / Prince Rd,1,0
1801040195,2018-01-04,2018,Jan,Thursday,0800,Single Vehicle,Single Vehicle,No Injury,Other Jurisdiction,Other Jurisdiction,Houghton Rd / Escalante Rd,0,0
1801050301,2018-01-05,2018,Jan,Friday,1100,Vehicle / Vehicle,Left Turn,Non-Incapacitating Injury,South,1,Midvale Park Rd / Valencia Rd,1,0
1801050511,2018-01-05,2018,Jan,Friday,1600,Vehicle / Vehicle,Rear-End (Front To Back),Possible Injury,South,1,I19 Sb Exit 99 On Ramp / Ajo Wy / I19 Sb Exit 99 Off Ramp,1,0
